,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
17668,20200504,developers.facebook.com,https://developers.facebook.com/docs/facebook-pixel/,text/html,text/html,en,"Facebook Pixel - Documentation - Facebook for Developers Facebook Pixel Implementation Advanced Support Reference Facebook Pixel The Facebook pixel is a snippet of JavaScript code that allows you to track visitor activity on your website. It works by loading a small library of functions which you can use whenever a site visitor takes an action (called an event) that you want to track (called a conversion). Tracked conversions appear in the Facebook Ads Manager and in the Facebook Analytics dashboard, where they can be used to measure the effectiveness of your ads, to define custom audiences for ad targeting, for dynamic ads campaigns, and to analyze that effectiveness of your website's conversion funnels. If you want to track User activity in a mobile app, refer to our App Events documentation instead. Requirements In order to implement the pixel, you will need: access to your website's code base your pixel's base code or its ID access to the Facebook Ads Manager In addition, depending on where you conduct business, you may have to comply with General Data Protection Regulation. Ready? Let's get started."
17672,20200504,developers.facebook.com,https://developers.facebook.com/docs/facebook-pixel/?_fb_noscript=1,text/html,text/html,en,"Facebook Pixel - Documentation - Facebook for Developers DocsToolsSupport Log In Facebook Pixel Implementation Advanced Support Reference Facebook Pixel The Facebook pixel is a snippet of JavaScript code that allows you to track visitor activity on your website. It works by loading a small library of functions which you can use whenever a site visitor takes an action (called an event) that you want to track (called a conversion). Tracked conversions appear in the Facebook Ads Manager and in the Facebook Analytics dashboard, where they can be used to measure the effectiveness of your ads, to define custom audiences for ad targeting, for dynamic ads campaigns, and to analyze that effectiveness of your website's conversion funnels. If you want to track User activity in a mobile app, refer to our App Events documentation instead. Requirements In order to implement the pixel, you will need: access to your website's code base your pixel's base code or its ID access to the Facebook Ads Manager In addition, depending on where you conduct business, you may have to comply with General Data Protection Regulation. Ready? Let's get started. LANGUAGES English (US) Español Français (France) 中文(简体) العربية Português (Brasil) 한국어 Italiano Deutsch 日本語 Products Artificial Intelligence Augmented Reality Business Tools Gaming Open Source Publishing Social Integrations Virtual Reality Programs Developer Circles F8 Startup Programs ThreatExchange Support Developer Support Bugs Platform Status Facebook for Developers Community Group News Blog Success Stories Videos Facebook for Developers Page Follow us About Create Ad Careers Platform Policy Privacy Policy Cookies Terms Facebook © 2020"
22325,20200515,developers.facebook.com,https://developers.facebook.com/blog/post/2018/06/08/enforce-https-facebook-login/,text/html,text/html,en,"Requiring HTTPS for Facebook Login News for Developers Back to News Requiring HTTPS for Facebook Login Brad Hill Business ToolsDeveloper Policy2018Facebook LoginPrivacyPolicySecurityJune 8, 2018 Related News Introducing Tools to Help Developers and Businesses Protect People's Privacy May 25 2018 Day 1 of F8 2018: Developer News Roundup May 01 2018 API and Other Platform Product Changes April 04 2018 To increase the security of apps and websites using Facebook Login, we're making an important update for the handling of all Facebook Login access tokens. A new “Enforce HTTPS” setting for Facebook Login is now available in your App Dashboard. When turned on, it requires all Facebook Login redirects to use HTTPS, and all Facebook JavaScript SDK calls that return or require an access token to occur only from HTTPS pages. HTTPS helps keep transmitted information private and helps protect the security of people using your app and Facebook Login. All new apps created since March 2018 have already been required to use this setting, and existing apps and websites using Facebook Login have until October 6, 2018 to opt in before it will automatically be enabled. Any insecure redirect URIs or pages making Login or API calls with the JavaScript SDK from HTTP pages will stop working after that date. You may have received a developer alert telling you that we've already enabled this setting for your app — if you don't currently use Web OAuth flows, already use only HTTPS URIs, or if all your redirect domains send or preload HTTP Strict Transport Security instructions. If not all of your URLs are HTTPS or HSTS, we strongly recommend that you update your pages to work over HTTPS and turn on the “Enforce HTTPS” setting in your Facebook Login settings. You will still be able to use HTTP with “localhost” addresses, but only while your app is still in development mode. Other features of our JavaScript SDK, such as social plugins, already use HTTPS iframes and do not pass sensitive information back to their embedding pages, so can continue to be used on HTTP pages. Be sure to enable “Enforce HTTPS” by October 6, 2018 so that your URLs redirect properly. Thank you for helping us protect people's information on the Facebook platform and in your apps and websites. Subscribe to Developer News Show Comments Related News Business ToolsDeveloper Policy May 25 2018 Augmented RealityBusiness Tools May 01 2018 Business ToolsDeveloper Policy April 04 2018 Business ToolsDeveloper Policy July 02 2018 Business ToolsDeveloper Policy May 10 2018 Business ToolsDeveloper Policy May 01 2018"
22333,20200515,developers.facebook.com,https://developers.facebook.com/blog/post/2018/06/08/enforce-https-facebook-login/?_fb_noscript=1,text/html,text/html,en,"Requiring HTTPS for Facebook Login Products Docs More More Tools Support Videos News Log In Products Docs More More Tools Support Videos News Log In News for Developers Back to News Requiring HTTPS for Facebook Login Brad Hill Business ToolsDeveloper Policy2018Facebook LoginPrivacyPolicySecurityJune 8, 2018 Related News Introducing Tools to Help Developers and Businesses Protect People's Privacy May 25 2018 Day 1 of F8 2018: Developer News Roundup May 01 2018 API and Other Platform Product Changes April 04 2018 To increase the security of apps and websites using Facebook Login, we're making an important update for the handling of all Facebook Login access tokens. A new “Enforce HTTPS” setting for Facebook Login is now available in your App Dashboard. When turned on, it requires all Facebook Login redirects to use HTTPS, and all Facebook JavaScript SDK calls that return or require an access token to occur only from HTTPS pages. HTTPS helps keep transmitted information private and helps protect the security of people using your app and Facebook Login. All new apps created since March 2018 have already been required to use this setting, and existing apps and websites using Facebook Login have until October 6, 2018 to opt in before it will automatically be enabled. Any insecure redirect URIs or pages making Login or API calls with the JavaScript SDK from HTTP pages will stop working after that date. You may have received a developer alert telling you that we've already enabled this setting for your app — if you don't currently use Web OAuth flows, already use only HTTPS URIs, or if all your redirect domains send or preload HTTP Strict Transport Security instructions. If not all of your URLs are HTTPS or HSTS, we strongly recommend that you update your pages to work over HTTPS and turn on the “Enforce HTTPS” setting in your Facebook Login settings. You will still be able to use HTTP with “localhost” addresses, but only while your app is still in development mode. Other features of our JavaScript SDK, such as social plugins, already use HTTPS iframes and do not pass sensitive information back to their embedding pages, so can continue to be used on HTTP pages. Be sure to enable “Enforce HTTPS” by October 6, 2018 so that your URLs redirect properly. Thank you for helping us protect people's information on the Facebook platform and in your apps and websites. Subscribe to Developer News Show Comments Related News Business ToolsDeveloper Policy May 25 2018 Augmented RealityBusiness Tools May 01 2018 Business ToolsDeveloper Policy April 04 2018 Business ToolsDeveloper Policy July 02 2018 Business ToolsDeveloper Policy May 10 2018 Business ToolsDeveloper Policy May 01 2018 LANGUAGES English (US) Español Français (France) 中文(简体) العربية Português (Brasil) 한국어 Italiano Deutsch 日本語 Products Artificial Intelligence Augmented Reality Business Tools Gaming Open Source Publishing Social Integrations Virtual Reality Programs Developer Circles F8 Startup Programs ThreatExchange Support Developer Support Bugs Platform Status Facebook for Developers Community Group News Blog Success Stories Videos Facebook for Developers Page Follow us About Create Ad Careers Platform Policy Privacy Policy Cookies Terms Facebook © 2020"
23363,20200515,developers.facebook.com,https://developers.facebook.com/docs/facebook-pixel/,text/html,text/html,en,"Facebook Pixel - Documentation - Facebook for Developers Facebook Pixel Implementation Advanced Support Reference Facebook Pixel The Facebook pixel is a snippet of JavaScript code that allows you to track visitor activity on your website. It works by loading a small library of functions which you can use whenever a site visitor takes an action (called an event) that you want to track (called a conversion). Tracked conversions appear in the Facebook Ads Manager and in the Facebook Analytics dashboard, where they can be used to measure the effectiveness of your ads, to define custom audiences for ad targeting, for dynamic ads campaigns, and to analyze that effectiveness of your website's conversion funnels. If you want to track User activity in a mobile app, refer to our App Events documentation instead. Requirements In order to implement the pixel, you will need: access to your website's code base your pixel's base code or its ID access to the Facebook Ads Manager In addition, depending on where you conduct business, you may have to comply with General Data Protection Regulation. Ready? Let's get started."
23364,20200515,developers.facebook.com,https://developers.facebook.com/docs/facebook-pixel/?_fb_noscript=1,text/html,text/html,en,"Facebook Pixel - Documentation - Facebook for Developers DocsToolsSupport Log In Facebook Pixel Implementation Advanced Support Reference Facebook Pixel The Facebook pixel is a snippet of JavaScript code that allows you to track visitor activity on your website. It works by loading a small library of functions which you can use whenever a site visitor takes an action (called an event) that you want to track (called a conversion). Tracked conversions appear in the Facebook Ads Manager and in the Facebook Analytics dashboard, where they can be used to measure the effectiveness of your ads, to define custom audiences for ad targeting, for dynamic ads campaigns, and to analyze that effectiveness of your website's conversion funnels. If you want to track User activity in a mobile app, refer to our App Events documentation instead. Requirements In order to implement the pixel, you will need: access to your website's code base your pixel's base code or its ID access to the Facebook Ads Manager In addition, depending on where you conduct business, you may have to comply with General Data Protection Regulation. Ready? Let's get started. LANGUAGES English (US) Español Français (France) 中文(简体) العربية Português (Brasil) 한국어 Italiano Deutsch 日本語 Products Artificial Intelligence Augmented Reality Business Tools Gaming Open Source Publishing Social Integrations Virtual Reality Programs Developer Circles F8 Startup Programs ThreatExchange Support Developer Support Bugs Platform Status Facebook for Developers Community Group News Blog Success Stories Videos Facebook for Developers Page Follow us About Create Ad Careers Platform Policy Privacy Policy Cookies Terms Facebook © 2020"
24223,20200515,developers.facebook.com,https://developers.facebook.com/?ref=pf,text/html,text/html,en,"Facebook for Developers Facebook for Developers Empowering creators, developers and businesses to build for the future.Explore Products Facebook for Startups Build better products and scale your startup with Facebook startup programs.Find out more PyTorch Learn about the popular open source framework for building, training and deploying AI.Explore More Making Apps Easier to Access as Demand Surges Learn More How Startups are Pivoting During the Pandemic Learn More Introducing Graph API v7.0 and Marketing API v7.0 Learn More Explore Explore the developer tools we offer. Artificial Intelligence Artificial Intelligence Advancing the field of machine learning to empower AI developers. Advancing the field of machine learning to empower AI developers. Augmented Reality Augmented Reality Bring your imagination to life with our cutting-edge creative tool. Bring your imagination to life with our cutting-edge creative tool. Business Tools Business Tools Tools to build and scale your business. Tools to build and scale your business. Gaming Gaming Access a suite of innovative gaming platforms and services. Access a suite of innovative gaming platforms and services. Open Source Open Source Contribute code to accelerate open source projects. Contribute code to accelerate open source projects. Publishing Publishing Interactive tools and services for creators, publishers and media. Interactive tools and services for creators, publishers and media. Social Integrations Social Integrations Social tools to grow your community. Social tools to grow your community. Social Presence Social Presence Build social experiences to bring people closer together. Build social experiences to bring people closer together. Virtual Reality Virtual Reality Join the next generation of developers building in the VR. Join the next generation of developers building in the VR. Global programs educating and connecting developers Developer Circles Join a community of developers, attend meetups and collaborate online. Overview F8 Learn what Facebook is creating to bring the world closer together. Overview Startup Programs Build better products and scale your startup with Facebook Startup programs. Overview ThreatExchange Learn more and share more about threats to help improve security. OverviewDocs Sign up for our monthly Facebook for Developers newsletter Sign Up Now"
24227,20200515,developers.facebook.com,https://developers.facebook.com/?ref=pf&_fb_noscript=1,text/html,text/html,en,"Facebook for Developers Products Docs More More Tools Support Videos News Log In Products Docs More More Tools Support Videos News Log In Facebook for Developers Empowering creators, developers and businesses to build for the future.Explore Products Facebook for Startups Build better products and scale your startup with Facebook startup programs.Find out more PyTorch Learn about the popular open source framework for building, training and deploying AI.Explore More Making Apps Easier to Access as Demand Surges Learn More How Startups are Pivoting During the Pandemic Learn More Introducing Graph API v7.0 and Marketing API v7.0 Learn More Explore Explore the developer tools we offer. Artificial Intelligence Artificial Intelligence Advancing the field of machine learning to empower AI developers. Advancing the field of machine learning to empower AI developers. Augmented Reality Augmented Reality Bring your imagination to life with our cutting-edge creative tool. Bring your imagination to life with our cutting-edge creative tool. Business Tools Business Tools Tools to build and scale your business. Tools to build and scale your business. Gaming Gaming Access a suite of innovative gaming platforms and services. Access a suite of innovative gaming platforms and services. Open Source Open Source Contribute code to accelerate open source projects. Contribute code to accelerate open source projects. Publishing Publishing Interactive tools and services for creators, publishers and media. Interactive tools and services for creators, publishers and media. Social Integrations Social Integrations Social tools to grow your community. Social tools to grow your community. Social Presence Social Presence Build social experiences to bring people closer together. Build social experiences to bring people closer together. Virtual Reality Virtual Reality Join the next generation of developers building in the VR. Join the next generation of developers building in the VR. Global programs educating and connecting developers Developer Circles Join a community of developers, attend meetups and collaborate online. Overview F8 Learn what Facebook is creating to bring the world closer together. Overview Startup Programs Build better products and scale your startup with Facebook Startup programs. Overview ThreatExchange Learn more and share more about threats to help improve security. OverviewDocs Sign up for our monthly Facebook for Developers newsletter Sign Up Now LANGUAGES English (US) Español Français (France) 中文(简体) العربية Português (Brasil) 한국어 Italiano Deutsch 日本語 Products Artificial Intelligence Augmented Reality Business Tools Gaming Open Source Publishing Social Integrations Virtual Reality Programs Developer Circles F8 Startup Programs ThreatExchange Support Developer Support Bugs Platform Status Facebook for Developers Community Group News Blog Success Stories Videos Facebook for Developers Page Follow us About Create Ad Careers Platform Policy Privacy Policy Cookies Terms Facebook © 2020"
52577,20200529,developers.facebook.com,https://developers.facebook.com/docs/facebook-pixel/,text/html,text/html,en,"Facebook Pixel - Documentation - Facebook for Developers Facebook Pixel Implementation Advanced Support Reference Facebook Pixel The Facebook pixel is a snippet of JavaScript code that allows you to track visitor activity on your website. It works by loading a small library of functions which you can use whenever a site visitor takes an action (called an event) that you want to track (called a conversion). Tracked conversions appear in the Facebook Ads Manager and in the Facebook Analytics dashboard, where they can be used to measure the effectiveness of your ads, to define custom audiences for ad targeting, for dynamic ads campaigns, and to analyze that effectiveness of your website's conversion funnels. If you want to track User activity in a mobile app, refer to our App Events documentation instead. Requirements In order to implement the pixel, you will need: access to your website's code base your pixel's base code or its ID access to the Facebook Ads Manager In addition, depending on where you conduct business, you may have to comply with General Data Protection Regulation. Ready? Let's get started."
52580,20200529,developers.facebook.com,https://developers.facebook.com/docs/facebook-pixel/?_fb_noscript=1,text/html,text/html,en,"Facebook Pixel - Documentation - Facebook for Developers DocsToolsSupport Log In Facebook Pixel Implementation Advanced Support Reference Facebook Pixel The Facebook pixel is a snippet of JavaScript code that allows you to track visitor activity on your website. It works by loading a small library of functions which you can use whenever a site visitor takes an action (called an event) that you want to track (called a conversion). Tracked conversions appear in the Facebook Ads Manager and in the Facebook Analytics dashboard, where they can be used to measure the effectiveness of your ads, to define custom audiences for ad targeting, for dynamic ads campaigns, and to analyze that effectiveness of your website's conversion funnels. If you want to track User activity in a mobile app, refer to our App Events documentation instead. Requirements In order to implement the pixel, you will need: access to your website's code base your pixel's base code or its ID access to the Facebook Ads Manager In addition, depending on where you conduct business, you may have to comply with General Data Protection Regulation. Ready? Let's get started. LANGUAGES English (US) Español Français (France) 中文(简体) العربية Português (Brasil) 한국어 Italiano Deutsch 日本語 Products Artificial Intelligence Augmented Reality Business Tools Gaming Open Source Publishing Social Integrations Virtual Reality Programs Developer Circles F8 Startup Programs ThreatExchange Support Developer Support Bugs Platform Status Facebook for Developers Community Group News Blog Success Stories Videos Facebook for Developers Page Follow us About Create Ad Careers Platform Policy Privacy Policy Cookies Terms Facebook © 2020"
59216,20200522,developers.facebook.com,https://developers.facebook.com/docs/facebook-pixel/,text/html,text/html,en,"Facebook Pixel - Documentation - Facebook for Developers Facebook Pixel Implementation Advanced Support Reference Facebook Pixel The Facebook pixel is a snippet of JavaScript code that allows you to track visitor activity on your website. It works by loading a small library of functions which you can use whenever a site visitor takes an action (called an event) that you want to track (called a conversion). Tracked conversions appear in the Facebook Ads Manager and in the Facebook Analytics dashboard, where they can be used to measure the effectiveness of your ads, to define custom audiences for ad targeting, for dynamic ads campaigns, and to analyze that effectiveness of your website's conversion funnels. If you want to track User activity in a mobile app, refer to our App Events documentation instead. Requirements In order to implement the pixel, you will need: access to your website's code base your pixel's base code or its ID access to the Facebook Ads Manager In addition, depending on where you conduct business, you may have to comply with General Data Protection Regulation. Ready? Let's get started."
59217,20200522,developers.facebook.com,https://developers.facebook.com/docs/facebook-pixel/?_fb_noscript=1,text/html,text/html,en,"Facebook Pixel - Documentation - Facebook for Developers DocsToolsSupport Log In Facebook Pixel Implementation Advanced Support Reference Facebook Pixel The Facebook pixel is a snippet of JavaScript code that allows you to track visitor activity on your website. It works by loading a small library of functions which you can use whenever a site visitor takes an action (called an event) that you want to track (called a conversion). Tracked conversions appear in the Facebook Ads Manager and in the Facebook Analytics dashboard, where they can be used to measure the effectiveness of your ads, to define custom audiences for ad targeting, for dynamic ads campaigns, and to analyze that effectiveness of your website's conversion funnels. If you want to track User activity in a mobile app, refer to our App Events documentation instead. Requirements In order to implement the pixel, you will need: access to your website's code base your pixel's base code or its ID access to the Facebook Ads Manager In addition, depending on where you conduct business, you may have to comply with General Data Protection Regulation. Ready? Let's get started. LANGUAGES English (US) Español Français (France) 中文(简体) العربية Português (Brasil) 한국어 Italiano Deutsch 日本語 Products Artificial Intelligence Augmented Reality Business Tools Gaming Open Source Publishing Social Integrations Virtual Reality Programs Developer Circles F8 Startup Programs ThreatExchange Support Developer Support Bugs Platform Status Facebook for Developers Community Group News Blog Success Stories Videos Facebook for Developers Page Follow us About Create Ad Careers Platform Policy Privacy Policy Cookies Terms Facebook © 2020"
